testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
5409288, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5067487, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5525376, VU5: Pedestrian,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle)
5511230, VU5: Pedestrian / VU6: Pedestrian,V1:(Collision with motor vehicle in traffic)
5061242, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic)
5425839, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5436460, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5119495, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic)
5121713, VU1: Bicyclist,V1:(Collision with parked motor vehicle)
5124190, VU1: Bicyclist,
5068758, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5068767, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5068868, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5134583, VU1: Bicyclist,V1:(Collision with impact attenuator/crash cushion)
5148681, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic)
5513862, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5069700, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5522532, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5070311, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5069882, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5546291, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5563644, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5608487, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian)
5450276, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5502458, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5536706, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5557422, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5578813, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5580511, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5168427, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic)
5171504, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic)
5605645, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5613020, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian)
5130131, VU1: Other,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))"
5174932, VU1: Other,V1:(Collision with other movable object)
5162719, VU1: Pedestrian,V1:(Collision with tree)
5072219, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5380835, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian)
5210223, VU1: Pedestrian / VU2: Pedestrian,V2:(Collision with motor vehicle in traffic)
5061687, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5514211, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian)
5532659, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian)
5071754, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5556546, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian)
5153332, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5082742, VU2: Bicyclist,V1:(Unknown)
5073618, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
