,testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL,PEDESTRIAN,CYCLIST,OTHER
67,5153513, VU2: Bicyclist / VU3: Pedestrian,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",1,1,0
68,5330632, VU2: Bicyclist / VU3: Pedestrian,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",1,1,0
69,5389439, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
70,5601995, VU5: Motorized Bicyclist,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),0,0,1
71,5066762, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
72,5191540, VU5: Pedestrian,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),1,0,0
73,5066848, VU1: Other,V1:(Collision with pedestrian),1,0,1
74,5306299, VU5: Pedestrian,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with median barrier),1,0,0
75,5408721, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
76,5409288, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
77,5067487, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
78,5525376, VU5: Pedestrian,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),1,0,0
79,5511230, VU5: Pedestrian / VU6: Pedestrian,V1:(Collision with motor vehicle in traffic),1,0,0
80,5061242, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
81,5425839, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
82,5436460, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
83,5119495, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
84,5121713, VU1: Bicyclist,V1:(Collision with parked motor vehicle),0,1,0
85,5124190, VU1: Bicyclist,,0,1,0
86,5068758, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
87,5068767, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
88,5068868, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
89,5134583, VU1: Bicyclist,V1:(Collision with impact attenuator/crash cushion),0,1,0
90,5148681, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
91,5513862, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
92,5069700, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
93,5522532, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
94,5070311, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
95,5069882, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
96,5546291, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
97,5563644, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
98,5608487, VU2: Electric Personal Assistive Mobility Device User,V1:(Collision with pedestrian),1,0,0
99,5450276, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
100,5502458, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
101,5536706, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
102,5557422, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
103,5578813, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
104,5580511, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
105,5168427, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
106,5171504, VU1: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
107,5605645, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
108,5613020, VU2: Emergency Responder - Outside of vehicle,V1:(Collision with pedestrian),1,0,0
109,5130131, VU1: Other,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))",0,0,1
110,5174932, VU1: Other,V1:(Collision with other movable object),0,0,1
111,5162719, VU1: Pedestrian,V1:(Collision with tree),1,0,0
112,5072219, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
113,5380835, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian),1,0,0
114,5210223, VU1: Pedestrian / VU2: Pedestrian,V2:(Collision with motor vehicle in traffic),1,0,0
115,5061687, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
116,5514211, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian),1,0,0
117,5532659, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian),1,0,0
118,5071754, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
119,5556546, VU2: Non-Motorized Wheelchair User,V1:(Collision with pedestrian),1,0,0
120,5153332, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
121,5082742, VU2: Bicyclist,V1:(Unknown),0,1,0
122,5073618, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
123,5085401, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
124,5255948, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
125,5301255, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
126,5306031, VU2: Other / VU3: Bicyclist,V1:(Collision with pedestrian),1,1,1
127,5086097, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
128,5074180, VU1: Bicyclist,V1:(Collision with pedestrian),1,1,0
129,5074262, VU4: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
130,5312654, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
131,5074316, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
