,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
17,BostonVisionZero,32300,BOSTON,2023,2023-07-16,,19:30:04,,0,0,1,42.358063731041725,-71.05188343683632,,2023-07-16 19:30:04,MassDOT,5279452,BOSTON,2023,2023-07-16,0,19:55:00,State,0,0,0,42.35809883,-71.05137725,1,2023-07-16 19:55:00,41.701507633001526,1496.0,0.5834227799023226
18,MassDOT,5349602,BOSTON,2023,2023-07-28,0,13:35:00,Local,0,0,0,42.29622597,-71.06715487,0,2023-07-28 13:35:00,BostonVisionZero,30250,BOSTON,2023,2023-07-28,,14:33:16,,0,0,1,42.296154582294655,-71.06716559993572,,2023-07-28 14:33:16,7.972856707517534,3496.0,0.6528566697140439
19,MassDOT,5285723,BOSTON,2023,2023-08-09,2,20:09:00,State,0,0,0,42.27807325,-71.07277384,0,2023-08-09 20:09:00,BostonVisionZero,22357,BOSTON,2023,2023-08-09,,20:42:29,,0,0,1,42.278059666297175,-71.07308018620179,,2023-08-09 20:42:29,25.204628826013543,2009.0,0.6561509315512386
20,BostonVisionZero,23172,BOSTON,2023,2023-08-11,,17:06:24,,0,0,1,42.320020136898094,-71.05967714984716,,2023-08-11 17:06:24,MassDOT,5350641,BOSTON,2023,2023-08-11,0,17:10:00,Local,0,0,0,42.32000473,-71.05979931,0,2023-08-11 17:10:00,10.170851067612695,216.0,0.910804042526711
21,MassDOT,5288215,BOSTON,2023,2023-08-19,0,04:01:00,State,0,0,0,42.36807647,-71.06264157,1,2023-08-19 04:01:00,BostonVisionZero,33906,BOSTON,2023,2023-08-19,,05:00:54,,0,0,1,42.36771006264756,-71.06223659648869,,2023-08-19 05:00:54,52.508884058360486,3594.0,0.3329378115914766
22,MassDOT,5359101,BOSTON,2023,2023-10-05,2,17:41:00,Local,0,1,1,42.31293173,-71.0574266,0,2023-10-05 17:41:00,BostonVisionZero,27089,BOSTON,2023,2023-10-05,,18:33:12,,0,1,0,42.31289521288713,-71.05774276511467,,2023-10-05 18:33:12,26.26616978001946,3132.0,0.5551368115398638
23,BostonVisionZero,29865,BOSTON,2023,2023-11-03,,09:41:25,,0,0,1,42.30414396292917,-71.08232420631086,,2023-11-03 09:41:25,MassDOT,5359563,BOSTON,2023,2023-11-03,0,10:26:00,Local,0,0,1,42.30412086,-71.08230931,0,2023-11-03 10:26:00,2.8410811963780813,2675.0,0.7571957649586867
24,BostonVisionZero,40148,BOSTON,2024,2024-04-12,,01:10:33,,0,0,1,42.34595927761557,-71.06128023583976,,2024-04-12 01:10:33,MassDOT,5383213,BOSTON,2024,2024-04-12,0,01:15:00,State,0,0,0,42.34559487,-71.06132057,0,2024-04-12 01:15:00,40.58436626160871,267.0,0.693659436168739
25,BostonVisionZero,34756,BOSTON,2024,2024-04-20,,22:37:39,,0,0,1,42.26729787574207,-71.09372828591967,,2024-04-20 22:37:39,MassDOT,5390168,BOSTON,2024,2024-04-20,0,23:08:00,MBTA,0,0,0,42.26763426,-71.0938809,0,2024-04-20 23:08:00,39.386871984236194,1821.0,0.5725418961103466
26,BostonVisionZero,35707,BOSTON,2024,2024-04-20,,22:52:06,,0,0,1,42.267974754928936,-71.09307212111437,,2024-04-20 22:52:06,MassDOT,5390168,BOSTON,2024,2024-04-20,0,23:08:00,MBTA,0,0,0,42.26763426,-71.0938809,0,2024-04-20 23:08:00,76.43231715957766,954.0,0.3854737798829563
27,BostonVisionZero,30097,BOSTON,2024,2024-05-25,,02:54:43,,0,0,1,42.32765628099736,-71.05859532046028,,2024-05-25 02:54:43,MassDOT,5403269,BOSTON,2024,2024-05-25,2,03:20:00,State,0,0,0,42.32830314,-71.05921414,1,2024-05-25 03:20:00,87.94466031844709,1517.0,0.2579707111042037
28,BostonVisionZero,33206,BOSTON,2024,2024-07-19,,16:32:47,,0,0,1,42.31368555527641,-71.05704743024982,,2024-07-19 16:32:47,MassDOT,5416614,BOSTON,2024,2024-07-19,2,16:33:00,Local,0,0,0,42.31295954,-71.05720676,0,2024-07-19 16:33:00,81.6419634912702,13.0,0.4274229222277752
29,MassDOT,5442691,BOSTON,2024,2024-09-28,2,10:01:00,Local,0,0,0,42.35084789,-71.08949714,0,2024-09-28 10:01:00,BostonVisionZero,5463,BOSTON,2024,2024-09-28,,10:39:00,,0,0,1,42.350858072765824,-71.0894836662669,,2024-09-28 10:39:00,1.580888379932845,2280.0,0.79893378134047
30,BostonVisionZero,26253,BOSTON,2025,2025-01-02,,18:25:18,,0,0,1,42.295844074873166,-71.05629435180104,,2025-01-02 18:25:18,MassDOT,5481925,BOSTON,2025,2025-01-02,0,19:25:00,Local,0,0,0,42.29637029,-71.05645739,0,2025-01-02 19:25:00,59.92414692764906,3582.0,0.28203097150645656
31,MassDOT,5530967,BOSTON,2025,2025-05-07,2,23:25:00,State,0,0,0,42.32367169,-71.05526909,0,2025-05-07 23:25:00,BostonVisionZero,2736,BOSTON,2025,2025-05-08,,00:00:51,,0,0,1,42.32377729967336,-71.05529825352797,,2025-05-08 00:00:51,11.964507182964105,2151.0,0.7369984497192513
32,MassDOT,5527073,BOSTON,2025,2025-05-13,2,22:30:00,Local,0,0,0,42.30873223,-71.08079358,0,2025-05-13 22:30:00,BostonVisionZero,1304,BOSTON,2025,2025-05-13,,23:27:54,,0,0,1,42.30876271949559,-71.0807777412352,,2025-05-13 23:27:54,3.625486381658315,3474.0,0.6851215953283918
33,BostonVisionZero,21128,BOSTON,2025,2025-05-28,,16:07:19,,0,1,0,42.331361390215626,-71.07071661568612,,2025-05-28 16:07:19,MassDOT,5556505,BOSTON,2025,2025-05-28,0,17:06:00,Local,0,0,0,42.33220922,-71.07068864,0,2025-05-28 17:06:00,94.13710095110883,3521.0,0.047623626675571504
34,BostonVisionZero,7438,BOSTON,2025,2025-07-05,,04:01:28,,0,0,1,42.33563664461931,-71.03522684156663,,2025-07-05 04:01:28,MassDOT,5556766,BOSTON,2025,2025-07-05,2,04:52:00,Local,0,0,0,42.33562835,-71.0354429,0,2025-07-05 04:52:00,17.75204202582198,3032.0,0.6230690391525795
35,BostonVisionZero,10492,BOSTON,2025,2025-07-20,,15:19:38,,0,0,1,42.29447815259188,-71.13581718475812,,2025-07-20 15:19:38,MassDOT,5556543,BOSTON,2025,2025-07-20,2,16:05:00,Local,0,0,0,42.29445928,-71.13587732,0,2025-07-20 16:05:00,5.3634998007194765,2722.0,0.7356221680616304
36,MassDOT,5556711,BOSTON,2025,2025-07-29,2,03:58:00,Local,0,0,0,42.31943221,-71.09469021,0,2025-07-29 03:58:00,BostonVisionZero,26513,BOSTON,2025,2025-07-29,,04:08:41,,0,0,1,42.319438092482415,-71.09467625970352,,2025-07-29 04:08:41,1.3180543945302123,641.0,0.9373569525716219
37,MassDOT,5581320,BOSTON,2025,2025-10-01,0,11:08:00,State,0,0,0,42.34767476,-71.05142642,1,2025-10-01 11:08:00,BostonVisionZero,28077,BOSTON,2025,2025-10-01,,11:33:39,,0,0,1,42.34741184541056,-71.05141401467458,,2025-10-01 11:33:39,29.201258657821068,1539.0,0.6673411893952526
38,MassDOT,5613455,BOSTON,2025,2025-12-25,0,00:19:00,Local,0,0,0,42.30439767,-71.08476257,0,2025-12-25 00:19:00,BostonVisionZero,32201,BOSTON,2025,2025-12-25,,00:57:48,,0,0,1,42.30479651226872,-71.08466155606801,,2025-12-25 00:57:48,45.04144409051031,2328.0,0.49070989136642773
39,MassDOT,5613869,BOSTON,2025,2025-12-29,0,21:25:00,State,0,0,0,42.2934588,-71.04755532,0,2025-12-29 21:25:00,BostonVisionZero,864,BOSTON,2025,2025-12-29,,21:44:33,,0,0,1,42.293474371372355,-71.04754825063853,,2025-12-29 21:44:33,1.8232838016177593,1173.0,0.8894870133886756
