,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
17,MassDOT,5070801,SOMERVILLE,2022,2022-01-19,2,18:20:00,Local,0,0,0.0,42.37688311,-71.08857033,0,2022-01-19 18:20:00,SomervillePD,22002953,SOMERVILLE,2022,2022-01-19,2,18:20:00,,0,0,0.0,42.3767,-71.0888,,2022-01-19 18:20:00,27.70889467036951,0.0,0.8060377373074135
18,MassDOT,5067186,BOSTON,2022,2022-01-20,0,13:50:00,State,0,0,0.0,42.36097269,-71.11779132,0,2022-01-20 13:50:00,BostonVisionZero,23992,BOSTON,2022,2022-01-20,,14:18:33,,1,0,,42.36010418886195,-71.11752429146709,,2022-01-20 14:18:33,98.86018913335245,1713.0,0.16522867606653285
19,MassDOT,5070811,SOMERVILLE,2022,2022-01-21,0,09:26:00,Local,0,0,0.0,42.39702676,-71.12196654,0,2022-01-21 09:26:00,SomervillePD,22003210,SOMERVILLE,2022,2022-01-21,0,09:26:00,,0,0,0.0,42.397,-71.122,,2022-01-21 09:26:00,4.043015718954095,0.0,0.9716988899673213
20,SomervillePD,22003257,SOMERVILLE,2022,2022-01-21,2,14:41:00,,0,1,0.0,42.3854,-71.087,,2022-01-21 14:41:00,MassDOT,5070745,SOMERVILLE,2022,2022-01-21,2,14:41:00,Local,0,1,0.0,42.38544498,-71.08703483,0,2022-01-21 14:41:00,5.751735958770514,0.0,0.9597378482886063
21,SomervillePD,22003400,SOMERVILLE,2022,2022-01-22,0,14:48:00,,0,0,0.0,42.3962,-71.1094,,2022-01-22 14:48:00,MassDOT,5070795,SOMERVILLE,2022,2022-01-22,0,14:48:00,Local,0,0,0.0,42.39633217,-71.10946185,0,2022-01-22 14:48:00,15.522240465311247,0.0,0.8913443167428212
22,MassDOT,5070746,SOMERVILLE,2022,2022-01-24,0,23:31:00,Local,0,0,0.0,42.39327589,-71.0806187,0,2022-01-24 23:31:00,SomervillePD,22003813,SOMERVILLE,2022,2022-01-24,0,23:31:00,,0,0,0.0,42.3938,-71.0804,,2022-01-24 23:31:00,60.87610709663548,0.0,0.5738672503235516
23,MassDOT,5070800,SOMERVILLE,2022,2022-01-25,0,00:48:00,Local,0,0,0.0,42.38570996,-71.08041692,0,2022-01-25 00:48:00,SomervillePD,22003826,SOMERVILLE,2022,2022-01-25,0,00:48:00,,0,0,0.0,42.3856,-71.0804,,2022-01-25 00:48:00,12.284139535228272,0.0,0.914011023253402
24,SomervillePD,22003849,SOMERVILLE,2022,2022-01-25,0,07:30:00,,0,0,0.0,42.3953,-71.0959,,2022-01-25 07:30:00,MassDOT,5070792,SOMERVILLE,2022,2022-01-25,0,07:30:00,Local,0,0,0.0,42.39530426,-71.09592742,0,2022-01-25 07:30:00,2.2969452998545297,0.0,0.9839213829010183
25,SomervillePD,22004123,SOMERVILLE,2022,2022-01-26,0,19:32:00,,0,0,0.0,42.384,-71.0829,,2022-01-26 19:32:00,MassDOT,5071067,SOMERVILLE,2022,2022-01-26,0,19:32:00,Local,0,0,0.0,42.38417313,-71.08278861,0,2022-01-26 19:32:00,21.27716432355616,0.0,0.8510598497351067
26,MassDOT,5070790,SOMERVILLE,2022,2022-01-27,0,18:49:00,Local,0,0,0.0,42.38188686,-71.08248241,0,2022-01-27 18:49:00,SomervillePD,22004276,SOMERVILLE,2022,2022-01-27,0,18:49:00,,0,0,0.0,42.3821,-71.0826,,2022-01-27 18:49:00,25.547687196811253,0.0,0.8211661896223212
27,MassDOT,5070807,SOMERVILLE,2022,2022-01-27,0,23:49:00,Local,0,0,0.0,42.39752394,-71.10491306,0,2022-01-27 23:49:00,SomervillePD,22004311,SOMERVILLE,2022,2022-01-27,0,23:49:00,,0,0,0.0,42.3972,-71.1049,,2022-01-27 23:49:00,35.97327313729435,0.0,0.7481870880389395
